"","1","2","3","4","5","6","7","8","9"
"",4814246,2894099,2079537,1585976,1289848,1066650,926272,809501,731540
"000000000",448,291,237,154,128,95,77,55,85
"000006895",56,12,8,5,0,8,3,8,0
"000077743",81,123,90,70,50,25,27,31,11
"001000363",77,57,21,25,12,19,14,14,5
"001002229",75,23,59,53,42,18,27,17,17
"001003680",79,35,48,27,25,20,19,15,15
"001003748",104,61,65,21,35,29,16,16,9
"001004092",136,85,102,69,42,44,33,36,27
"001004258",302,241,174,177,89,123,91,44,55
"001004332",318,224,177,201,74,90,102,51,71
"001005040",39,15,14,7,15,7,10,2,3
"001007558",109,50,56,64,44,34,33,37,20
"001007855",131,80,77,39,71,35,31,19,29
"001008457",70,49,34,38,31,27,13,14,9
"001008697",97,88,55,30,34,36,14,20,14
"001008986",32,20,25,10,6,6,6,5,6
"001009828",78,18,8,5,2,0,0,0,6
"001009851",46,36,13,14,7,2,1,12,6
"001010081",54,43,72,31,28,12,22,10,16
"001010599",40,19,26,23,21,12,12,9,9
"001011071",52,17,14,12,3,1,6,13,8
"001012673",66,77,52,41,21,8,17,11,20
"001012954",132,47,38,30,37,24,27,19,6
"001013796",36,33,41,26,15,9,12,9,6
"001014182",2465,1275,832,734,445,511,401,282,319
"001014323",54,34,20,16,7,6,6,8,5
"001014562",167,68,49,29,61,36,23,14,15
"001015429",32,13,3,9,9,5,9,14,10
"001016562",33,15,21,27,3,0,0,0,7
"001016906",35,12,18,10,12,9,10,14,9
"001017490",339,237,131,140,130,64,57,76,51
"001017870",41,16,17,6,18,2,14,6,8
"001018084",234,160,114,76,46,46,39,29,47
"001020887",67,49,13,5,13,7,7,14,14
"001021930",488,305,354,244,202,123,115,125,117
"001022185",285,114,81,80,76,52,64,66,45
"001022201",42,30,15,16,7,11,11,11,6
"001023261",47,23,24,22,11,5,3,0,0
"001023472",283,165,130,102,122,78,55,48,52
"001024314",6842,3998,3748,2925,2169,1779,1538,1537,1209
"001026447",41,16,5,36,4,22,0,7,9
"001027218",147,71,93,55,46,40,28,21,25
"001027432",22,13,63,15,6,21,12,3,20
"001030535",33,20,18,11,15,15,7,2,7
"001030667",26,16,26,20,0,4,22,4,12
"001032002",160,89,96,89,74,46,46,32,27
"001033737",106,42,28,41,34,14,24,11,15
"001036313",28,5,13,2,11,16,0,1,32
"001038103",213,140,62,96,52,23,64,38,8
"001040351",32,36,18,11,18,11,14,4,4
"001040542",57,34,26,18,20,25,12,8,3
"001042100",33,11,20,13,7,11,4,6,2
"001042472",53,24,8,20,12,7,3,6,15
"001043496",5480,3199,1832,1429,1796,1368,1033,641,519
"001049840",26,8,29,24,9,11,14,7,9
"001050897",31,34,22,13,28,13,9,5,5
"001051437",54,35,37,31,10,14,2,5,24
"001051457",36,22,19,21,9,8,7,4,7
"001053610",3476,2099,2336,1504,1116,1227,646,562,810
"001053636",49,31,17,31,21,27,17,17,12
"001053982",238,78,100,82,61,70,46,47,42
"001063577",34,24,26,9,13,5,6,4,3
"001070457",23,16,12,1,16,9,4,20,4
"001088574",14,4,3,2,15,70,6,0,2
"001089234",18,46,9,2,27,5,2,3,4
"001089838",47,19,24,27,22,19,15,7,13
"001090208",117,63,42,34,31,27,21,22,16
"001095249",40,18,10,5,8,4,8,4,4
"001095686",61,59,55,35,30,26,12,18,14
"001109685",291,182,132,146,96,71,53,71,70
"001112564",123,52,54,29,24,18,24,23,8
"001113463",24,27,12,11,13,7,3,10,6
"001114115",23,27,12,20,10,10,7,0,6
"001117266",53,29,26,17,10,9,15,4,7
"001118207",78,38,14,8,7,3,8,6,8
"001119593",82,25,30,9,17,23,19,4,11
"001119825",35,25,25,14,17,12,6,9,4
"001119924",80,46,40,22,23,9,9,14,7
"001120278",703,385,416,323,264,195,172,139,124
"001123108",32,23,23,14,10,9,5,3,3
"001123314",1125,586,408,437,372,109,227,191,321
"001123470",32,16,35,5,9,54,5,43,2
"001124965",54,26,11,14,9,18,6,9,6
"001125194",49,33,17,11,4,5,5,8,4
"001125681",233,152,108,80,70,39,42,46,37
"001125954",83,51,31,23,25,13,13,7,20
"001126390",289,189,213,168,132,76,71,73,62
"001128537",814,646,679,655,457,328,216,185,263
"001128867",189,128,90,75,50,44,30,17,33
"001139674",20,18,32,30,27,5,3,1,0
"001139765",77,31,42,29,36,21,15,27,40
"001140581",220,124,98,72,58,56,35,32,35
"001141407",106,63,68,44,37,28,28,37,39
"001141803",35,49,40,51,21,4,22,19,7
"001141852",29,20,17,15,8,17,9,10,3
"001142496",33,30,27,13,10,9,18,5,8
"001142702",286,148,125,101,82,66,54,44,44
"001143007",30,26,18,11,10,12,1,5,5
"001144062",92,59,51,50,45,50,27,24,14
"001145481",511,448,237,211,139,129,102,98,100
"001145507",96,35,42,46,24,16,31,36,14
"001145531",85,47,45,42,30,23,23,23,28
"001146562",345,205,169,191,145,124,105,70,40
"001147800",48,14,9,18,17,15,15,13,6
"001148659",62,64,64,52,44,33,30,25,17
"001150978",94,62,61,31,32,32,30,20,21
"001151208",141,86,96,95,58,45,39,20,26
"001151679",55,33,43,33,23,20,21,9,16
"001152420",48,17,14,17,17,16,17,6,12
"001152461",11269,6708,4255,3562,3797,2828,2602,1849,1700
"001152628",45,22,24,29,27,13,8,8,5
"001153550",59,25,20,22,65,18,15,23,10
"001153766",27,9,17,7,8,19,15,2,6
"001153790",35,35,25,25,15,9,13,14,12
"001155225",1840,1083,908,727,584,416,360,287,352
"001157841",251,139,97,159,60,41,57,35,77
"001158195",320,126,89,64,37,53,47,32,39
"001160126",43,30,24,21,9,4,11,9,5
"001161116",120,76,78,63,63,47,27,27,24
"001161728",60,65,87,49,33,16,21,17,13
"001161793",8239,4428,3476,2696,2271,1706,1422,1223,1313
"001162395",139,79,110,60,43,50,27,28,26
"001163294",451,231,306,204,177,150,123,113,147
"001163906",58,44,42,28,17,15,13,16,24
"001167204",213,133,109,92,69,55,47,44,59
"001169325",82,27,19,13,39,15,12,14,14
"001172170",53,26,25,18,13,16,10,4,6
"001178995",24,24,26,15,8,14,8,5,7
"001181817",182,296,64,3,3,9,1,0,2
"001181858",62,39,37,18,27,30,15,20,10
"001183748",5242,2540,5348,2914,2214,1726,1318,1210,1008
"001184043",64,36,29,15,20,20,11,8,5
"001184449",69,43,25,14,6,10,8,10,8
"001185040",312,203,216,189,116,90,90,81,87
"001185594",97,58,56,29,17,17,9,17,13
"001187368",24,7,6,3,14,27,13,7,12
"001190149",111,69,67,33,39,41,24,25,28
"001193002",53,28,12,14,21,17,5,13,12
"001194885",48,94,22,18,14,31,17,8,9
"001195221",129,52,71,13,20,62,14,33,28
"001196328",36,8,15,7,21,10,9,5,5
"001197789",86,90,58,36,39,31,40,32,23
"001198233",118,81,82,79,42,40,32,16,31
"001198829",105,61,35,54,41,24,31,24,31
"001201680",109,43,43,22,26,20,25,22,28
"001201735",356,114,81,182,291,58,42,71,476
"001203892",64,26,39,29,19,17,23,15,5
"001205194",146,97,99,60,48,41,41,29,24
"001206010",20,12,35,14,10,3,11,3,4
"001210186",206,144,194,146,92,85,63,74,49
"001210624",26,30,16,22,11,12,18,13,17
"001210756",406,265,322,267,235,214,163,151,90
"001210996",1306,787,882,588,434,415,337,258,194
"001211127",123,107,54,43,17,20,25,11,14
"001213206",941,569,569,435,329,304,188,203,185
"001213214",555,165,83,71,60,59,56,66,99
"001213305",67,56,27,34,18,20,7,10,17
"001215425",61,23,14,17,11,7,3,22,19
"001216845",9160,5515,3683,3106,2406,2225,1570,1674,1267
"001217587",302,133,168,125,104,95,106,72,78
"001220979",466,292,271,192,166,136,142,83,106
"001221530",24,12,29,2,8,9,10,7,15
"001224989",271,154,101,60,59,31,36,34,20
"001225114",54,22,9,8,5,3,4,6,6
"001227909",34,22,21,14,11,14,7,4,8
"001231166",68,27,30,19,15,16,16,12,7
"001248723",33,23,71,23,20,34,22,3,23
"001253020",161,118,76,70,64,57,41,39,38
"001257588",88,273,26,46,3,0,23,0,30
"001265396",173,84,75,61,47,37,29,21,24
"001265768",603,307,270,176,220,161,154,123,110
"001270859",156,72,160,35,21,35,12,5,17
"001273762",155,31,18,14,32,35,15,10,18
"001276872",286,189,65,259,44,23,112,63,24
"001280569",62,58,36,31,24,19,6,14,11
"001280726",2761,1669,1382,1041,840,746,655,481,537
"001281989",702,342,246,179,140,137,104,86,75
"001282722",921,616,558,635,341,237,200,165,180
"001284447",117,80,18,6,14,2,2,4,0
"001287762",7189,4412,3261,2481,1606,1522,1253,1080,942
"001288042",108,66,37,18,18,12,26,8,18
"001288075",24,15,21,14,7,8,7,4,3
"001288273",96,46,47,78,36,34,22,30,30
"001288497",1640,1008,801,556,545,435,354,272,266
"001288570",30,13,21,22,13,10,9,11,5
"001288810",74,61,41,20,32,26,20,38,35
"001288828",1582,248,59,205,37,127,45,34,89
"001289313",164,97,106,88,56,76,51,72,36
"001291111",43,30,22,13,10,9,15,14,8
"001292192",8724,5059,3699,2815,2322,2106,1578,1346,1315
"001294834",17,32,36,23,19,8,4,2,8
"001299650",392,257,188,116,75,72,86,49,122
"001301589",2869,2911,1330,1026,1263,862,766,535,496
"001306547",55,40,42,24,26,29,9,9,5
"001306877",127,62,84,47,50,25,22,21,22
"001306976",14,26,21,24,17,9,5,7,5
"001306992",47,42,11,12,8,2,13,6,7
"001307081",34136,19671,20169,21103,11743,8293,6967,6186,5735
"001307420",329,186,161,107,81,74,71,64,58
"001307586",393,280,168,140,100,105,88,87,64
"001307602",14823,10015,8646,7193,4557,4410,3096,2625,2525
"001307636",1875,1056,1165,950,629,573,546,424,364
"001307735",248,127,109,111,58,69,67,31,51
"001312693",11,7,36,31,20,11,6,7,2
"001315126",320,180,174,199,119,80,76,81,58
"001315613",48,57,34,40,35,18,19,19,4
"001315704",424,289,217,156,157,87,102,70,95
"001316090",745,587,402,283,217,140,153,85,68
"001316330",743,379,211,156,154,162,67,34,73
"001316561",1920,1303,1047,930,626,426,369,357,306
"001316827",155,87,69,35,25,31,30,27,19
"001317163",41,16,19,15,16,9,8,15,5
"001317189",47,46,24,25,6,8,7,26,11
"001317304",35,22,18,17,8,7,8,3,11
"001317577",65,24,17,7,26,15,12,10,11
"001317833",61,24,20,13,6,14,5,7,4
"001319003",48,40,34,28,20,21,15,15,11
"001319938",130,45,27,28,44,25,17,15,23
"001321389",54,28,24,21,11,10,10,8,1
"001321611",124,53,43,41,43,13,10,15,11
"001323344",46,28,27,7,20,20,3,4,15
"001325463",7351,4645,4123,3280,2503,1916,1781,1584,1340
"001325877",36,21,17,42,21,15,6,12,13
"001326094",127,192,38,10,3,1,2,72,12
"001326479",51,49,17,30,16,4,4,7,5
"001326495",1750,1210,1053,842,742,617,411,369,419
"001328863",66,44,74,52,40,24,14,15,11
"001335819",108,127,67,75,44,39,35,13,13
"001338086",2207,1470,859,752,632,459,373,380,356
"001338912",610,139,390,300,120,79,36,66,44
"001338979",18938,11942,11776,8852,7759,6017,4982,4117,3624
"001339159",43559,26253,18448,15063,12878,9585,7983,7366,6912
"001339472",2346,1448,1324,887,831,644,581,507,384
"001339936",388,175,239,174,133,72,77,83,43
"001340082",27,21,11,20,8,2,10,14,7
"001344142",61693,38512,37505,27348,21314,16945,14276,11811,11634
"001344381",328,112,139,88,32,76,74,69,69
"001344746",18219,31994,8415,4757,3394,2018,1743,1383,1192
"001344803",13612,9837,5331,5632,4768,3058,2969,2576,2446
"001345149",2576,1474,1297,947,800,770,583,547,558
"001345610",39,16,26,9,18,9,9,6,13
"001346279",43,57,90,57,52,28,33,17,19
"001350784",23,17,24,25,8,6,5,4,10
"001355312",56,19,57,18,6,11,87,147,23
"001356872",529,266,231,180,177,124,132,94,116
"001357214",39,34,15,15,15,5,5,7,6
"001360346",64,70,36,35,40,26,23,12,24
"001360692",19,27,24,11,8,8,10,8,10
"001360734",41,31,19,12,12,5,9,4,5
"001361773",61,32,16,12,8,5,6,13,21
"001367366",30,25,21,36,10,25,12,4,4
"001367549",52,23,58,7,3,3,29,39,8
"001367846",49,15,23,13,18,21,4,7,7
"001367960",36256,22019,18040,13673,10893,9226,7862,6526,6434
"001368083",12510,7739,6172,4672,4148,2937,2753,2453,2042
"001369235",65,32,33,23,21,24,20,8,17
"001370857",117,100,79,63,28,22,32,26,21
"001371020",163,95,22,8,44,32,90,62,21
"001376065",219,37,70,9,21,1,18,0,0
"001376565",949,456,378,324,249,200,198,151,167
"001376735",18,49,15,11,6,6,3,4,0
"001379429",68,36,34,15,23,18,23,15,14
"001381284",67711,38084,31313,25481,18442,15269,14510,12441,13844
"001381482",82,33,46,40,22,26,20,22,16
"001381581",102,61,36,55,27,59,43,18,15
"001381867",37,33,41,16,21,14,5,10,2
"001382555",806,813,448,405,467,415,306,189,151
"001384866",79,36,27,36,30,24,14,15,6
"001385947",106,62,39,36,34,56,32,25,20
"001393719",199,85,87,74,62,51,44,36,53
"001401470",48,48,17,16,20,15,7,10,8
"001403658",27,4,6,8,12,12,17,11,5
"001403807",72,55,45,45,26,15,6,9,6
"001405315",113,85,33,27,32,37,36,15,27
"001405521",49,51,34,19,22,22,19,12,15
"001408673",55002,32039,25223,20773,15685,13289,12036,10744,9605
"001411735",65,31,29,28,24,18,9,7,10
"001411792",31,14,22,15,18,10,6,5,4
"001414358",72,29,13,12,8,13,10,7,11
"001417823",38,15,21,10,8,12,3,0,8
"001422278",100,96,70,50,35,15,21,29,34
"001422583",38,15,15,10,9,10,10,12,9
"001423631",1622,643,472,419,270,276,144,110,123
"001425594",4493,2917,3429,1878,1257,1199,1013,993,706
"001428200",43,16,7,6,42,0,9,5,1
"001441146",36,28,25,19,24,8,10,10,10
"001442003",35,18,2,2,83,30,5,8,3
"001443399",119,65,50,36,29,40,25,15,28
"001447762",196,107,112,105,95,80,44,45,38
"001449008",33,13,13,14,14,3,9,10,9
"001449354",98,54,43,32,22,16,25,26,20
"001452341",216,121,118,93,86,54,52,37,26
"001452473",59,47,28,18,11,10,9,7,11
"001452606",41,50,52,33,31,16,17,11,17
"001453661",339,239,267,171,158,101,73,86,61
"001454560",66,30,40,18,12,13,20,10,11
"001455856",70,51,64,42,39,31,29,21,13
"001457241",74,50,32,36,40,18,20,17,14
"001464564",81,31,55,38,10,11,43,22,6
"001468149",69,33,42,33,16,13,18,9,14
"001468255",1394,1123,776,646,448,319,264,227,183
"001468669",65,57,46,49,33,24,34,19,7
"001479187",172,87,98,47,56,44,41,21,39
"001483130",400,231,132,135,88,65,46,67,68
"001486786",66,41,32,19,15,19,17,10,16
"001489491",277,118,90,65,54,45,29,30,16
"001492545",70,38,24,22,18,13,10,17,21
"001502426",24,13,35,3,8,7,7,1,2
"001503010",451,129,97,79,39,52,28,28,16
"001503291",32,66,24,17,12,7,5,3,9
"001504638",46,18,14,6,11,11,10,5,6
"001518224",34,13,10,13,10,6,6,4,8
"001519248",387,202,264,178,143,100,72,63,72
"001519750",51,19,40,53,21,20,14,6,9
"001522549",38,21,22,11,16,9,14,5,3
"001527241",164,115,92,61,46,47,54,24,18
"001527506",39,13,20,9,12,6,9,5,9
"001537190",72,43,27,28,14,16,14,15,6
"001539014",97,39,36,30,20,22,29,10,10
"001539543",74,109,11,49,98,31,62,6,3
"001556976",35,21,21,14,12,8,8,8,6
"001557664",44,29,22,7,2,6,13,2,4
"001559124",17,23,34,42,21,39,50,6,5
"001561125",109,62,63,77,58,71,50,29,23
"001566553",133,58,42,58,49,40,44,30,43
"001573596",148,105,79,50,41,43,35,22,14
"001599406",93,62,55,45,26,21,18,24,28
"001618412",31,11,16,13,11,8,2,9,5
"001627124",680,514,524,331,297,233,177,65,119
"001633759",141,106,78,65,38,46,37,21,36
"001635879",46,18,23,35,27,14,21,10,17
"001636950",55,64,31,55,23,12,15,10,16
"001643159",97,40,9,23,14,18,14,8,17
"001643506",48,25,15,5,5,18,6,0,3
"001663145",42,21,8,11,1,4,13,18,5
"001664465",73,69,27,13,50,35,35,17,18
"001665343",46,21,30,25,24,20,9,4,8
"001665954",309,116,62,35,54,21,25,57,24
"001666593",105,29,429,53,116,29,48,23,40
"001667906",1305,981,576,681,567,402,220,174,269
"001670488",81,36,34,40,33,12,17,15,11
"001672062",1725,760,1081,856,975,898,759,669,605
"001672120",144277,103917,89998,62081,49147,38572,34348,29852,23541
"001672633",997,537,427,347,229,251,208,212,164
"001673920",264,145,102,40,55,64,59,26,40
"001704527",316,189,281,263,150,122,118,67,55
"001705839",160,86,60,45,29,36,35,39,33
"001707900",27,33,9,12,13,18,2,4,3
"001709294",1569,858,711,581,534,350,215,239,213
"001712686",399,145,40,0,2,6,101,71,92
"001712991",30,19,17,16,10,3,5,4,3
"001713437",367,830,242,321,237,152,61,74,69
"001721252",187,101,49,104,49,67,72,45,30
"001724962",97,56,85,13,59,44,30,9,41
"001727135",30,25,35,27,5,9,0,3,28
"001729128",344,205,139,64,66,77,51,47,47
"001733237",41,10,11,7,8,6,5,4,8
"001733393",61,35,40,27,29,17,15,14,17
"001733625",67,51,50,41,22,22,12,12,14
"001733930",475,257,238,214,160,129,81,83,81
"001734995",177,134,129,88,83,59,57,31,46
"001735856",279,122,159,139,64,29,79,21,46
"001737949",215,124,82,59,59,50,32,18,23
"001738269",34,27,15,14,5,11,17,10,7
"001738921",146,87,120,101,68,49,43,33,33
"001744502",63,35,29,18,19,13,12,11,19
"001744788",24,9,27,26,7,8,6,3,2
"001745512",417,680,661,93,56,61,42,79,64
"001748995",140,74,33,38,35,16,31,10,17
"001749605",407,309,197,196,126,104,64,61,45
"001752252",21,86,50,254,4,7,5,2,2
"001753755",46,21,17,19,15,10,6,10,3
"001756139",94,68,50,28,19,33,20,17,22
"001759737",167,89,56,31,18,13,25,28,18
"001760305",94,298,149,76,35,0,4,1,3
"001762926",47,55,69,92,40,17,28,25,17
"001763499",53,21,22,11,5,25,19,8,14
"001765866",1252,775,1010,875,514,247,269,160,299
"001766328",117,25,16,35,45,9,13,18,10
"001766682",1189,834,602,706,597,290,378,258,287
"001767763",590,414,264,178,231,202,198,114,105
"001768910",221,454,15,22,2,48,3,1,1
"001771104",37,21,29,21,17,19,10,9,5
"001774090",160,49,53,69,54,73,27,21,36
"001774736",126,37,27,32,44,25,13,17,28
"001776608",253,142,138,91,64,47,54,45,35
"001778232",21,13,28,20,18,13,10,4,4
"001778349",9531,6022,4036,3249,2618,2249,1943,1720,1552
"001785542",1653,1280,1083,1181,496,317,348,315,218
"001787829",84,49,26,24,19,21,13,20,13
"001791974",332,91,58,57,43,33,30,36,38
"001792936",52,28,15,12,7,4,6,2,2
"001793082",330,170,83,92,62,76,47,66,72
"001794205",186,145,78,41,46,48,41,26,21
"001800002",32,21,16,18,13,19,18,9,6
"001801745",10,8,17,12,7,15,29,1,17
"001803089",441,247,215,151,118,116,126,89,94
"001803295",97,125,57,42,38,24,20,19,15
"001804991",387,1013,8,8,0,1,1,0,0
"001806467",45,41,17,2,13,1,11,2,1
"001807150",1368,725,593,421,357,217,228,207,175
"001807549",383,535,70,22,64,44,30,63,41
"001813872",35,25,20,13,12,7,6,5,11
"001816037",360,221,96,73,63,87,73,47,73
"001816409",16,49,32,14,3,6,6,1,4
"001818335",153,89,91,79,40,35,34,30,26
"001820794",23,20,20,8,7,15,4,4,2
